student_id,exercise_id,category,order,score,pass_status,grade,sex,mean_perception,time_spent,total_attempts,cumulative_passes,pass_rate
5,M3S203,Division,12,3,Pass,3,Boy,2.4,10.684217859624177,1,7,0.5833333333333334
5,M3S501,Geometry,13,3,Pass,3,Boy,2.4,18.975400157163342,1,8,0.6153846153846154
5,M3S601,Data_Analysis,14,3,Pass,3,Boy,2.4,21.103837106444026,1,9,0.6428571428571429
5,M3S301,Missing_Numbers,15,3,Pass,3,Boy,2.4,20.371490478357437,1,10,0.6666666666666666
5,M3S204,Addition,16,4,Pass,3,Boy,2.4,41.994283136932964,1,11,0.6875
5,M3S205,Subtraction,17,4,Pass,3,Boy,2.4,47.90535174317355,1,12,0.7058823529411765
5,M3S101,Word_Problems,18,2,Pass,3,Boy,2.4,9.724789903662565,1,13,0.7222222222222222
5,M3S206,Subtraction,19,3,Pass,3,Boy,2.4,20.989535099295473,1,14,0.7368421052631579
5,M3S207,Multiplication,20,4,Pass,3,Boy,2.4,56.27223264929027,1,15,0.75
5,M3S502,Geometry,21,0,Fail,3,Boy,2.4,26.01025131628184,1,15,0.7142857142857143
5,M3S302,Missing_Numbers,22,2,Pass,3,Boy,2.4,20.346690561332878,1,16,0.7272727272727273
5,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,2.4,35.411796931121714,1,17,0.7391304347826086
5,M3S208,Division,24,2,Pass,3,Boy,2.4,59.11567448810882,1,18,0.75
5,M3S602,Coding,25,0,Fail,3,Boy,2.4,55.038998006641094,1,18,0.72
6,M3S201a,Multiplication,1,1,Pass,3,Boy,2.2,7.224652767726015,1,1,1.0
6,M3S201b,Multiplication,2,1,Pass,3,Boy,2.2,5.9382142677112455,1,2,1.0
6,M3S201c,Multiplication,3,1,Pass,3,Boy,2.2,6.342995973688107,1,3,1.0
6,M3S201d,Multiplication,4,1,Pass,3,Boy,2.2,33.70686410936532,1,4,1.0
6,M3S201e,Multiplication,5,1,Pass,3,Boy,2.2,40.77747247136132,1,5,1.0
6,M3S201f,Multiplication,6,1,Pass,3,Boy,2.2,18.385545051368304,1,6,1.0
6,M3S201g,Multiplication,7,1,Pass,3,Boy,2.2,38.95003361860143,1,7,1.0
6,M3S201h,Multiplication,8,0,Fail,3,Boy,2.2,37.03036511186591,1,7,0.875
6,M3S201i,Multiplication,9,0,Fail,3,Boy,2.2,49.21244015968477,1,7,0.7777777777777778
6,M3S201j,Multiplication,10,0,Fail,3,Boy,2.2,40.30236955626158,1,7,0.7
6,M3S202,Subtraction,11,0,Fail,3,Boy,2.2,35.60797444455699,1,7,0.6363636363636364
6,M3S203,Division,12,0,Fail,3,Boy,2.2,7.314176852890006,1,7,0.5833333333333334
6,M3S501,Geometry,13,2,Pass,3,Boy,2.2,17.27525737532938,1,8,0.6153846153846154
6,M3S601,Data_Analysis,14,3,Pass,3,Boy,2.2,42.64874076153973,1,9,0.6428571428571429
6,M3S301,Missing_Numbers,15,0,Fail,3,Boy,2.2,5.164830000332906,1,9,0.6
